celltype	marker	expression	gene_name	comment	ensg_id	gene_description
basophil	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
classical monocyte	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
eosinophil	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
gdTCR	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
intermediate monocyte	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
MAIT T-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
myeloid DC	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
memory B-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
memory CD4 T-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
memory CD8 T-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
naive B-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
naive CD4 T-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
naive CD8 T-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
neutrophil	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
NK-cell	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
non-classical monocyte	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
plasmacytoid DC	CCR4	NA	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
T-reg	CCR4	+	CCR4		ENSG00000183813	C-C motif chemokine receptor 4
basophil	CD3	-	CD3G		ENSG00000160654	CD3g molecule
basophil	CD3	-	CD3D		ENSG00000167286	CD3d molecule
basophil	CD3	-	CD3E		ENSG00000198851	CD3e molecule
classical monocyte	CD3	-	CD3G		ENSG00000160654	CD3g molecule
classical monocyte	CD3	-	CD3D		ENSG00000167286	CD3d molecule
classical monocyte	CD3	-	CD3E		ENSG00000198851	CD3e molecule
eosinophil	CD3	NA	CD3G		ENSG00000160654	CD3g molecule
eosinophil	CD3	NA	CD3D		ENSG00000167286	CD3d molecule
eosinophil	CD3	NA	CD3E		ENSG00000198851	CD3e molecule
gdTCR	CD3	+	CD3G		ENSG00000160654	CD3g molecule
gdTCR	CD3	+	CD3D		ENSG00000167286	CD3d molecule
gdTCR	CD3	+	CD3E		ENSG00000198851	CD3e molecule
intermediate monocyte	CD3	-	CD3G		ENSG00000160654	CD3g molecule
intermediate monocyte	CD3	-	CD3D		ENSG00000167286	CD3d molecule
intermediate monocyte	CD3	-	CD3E		ENSG00000198851	CD3e molecule
MAIT T-cell	CD3	+	CD3G		ENSG00000160654	CD3g molecule
MAIT T-cell	CD3	+	CD3D		ENSG00000167286	CD3d molecule
MAIT T-cell	CD3	+	CD3E		ENSG00000198851	CD3e molecule
myeloid DC	CD3	-	CD3G		ENSG00000160654	CD3g molecule
myeloid DC	CD3	-	CD3D		ENSG00000167286	CD3d molecule
myeloid DC	CD3	-	CD3E		ENSG00000198851	CD3e molecule
memory B-cell	CD3	-	CD3G		ENSG00000160654	CD3g molecule
memory B-cell	CD3	-	CD3D		ENSG00000167286	CD3d molecule
memory B-cell	CD3	-	CD3E		ENSG00000198851	CD3e molecule
memory CD4 T-cell	CD3	+	CD3G		ENSG00000160654	CD3g molecule
memory CD4 T-cell	CD3	+	CD3D		ENSG00000167286	CD3d molecule
memory CD4 T-cell	CD3	+	CD3E		ENSG00000198851	CD3e molecule
memory CD8 T-cell	CD3	+	CD3G		ENSG00000160654	CD3g molecule
memory CD8 T-cell	CD3	+	CD3D		ENSG00000167286	CD3d molecule
memory CD8 T-cell	CD3	+	CD3E		ENSG00000198851	CD3e molecule
naive B-cell	CD3	-	CD3G		ENSG00000160654	CD3g molecule
naive B-cell	CD3	-	CD3D		ENSG00000167286	CD3d molecule
naive B-cell	CD3	-	CD3E		ENSG00000198851	CD3e molecule
naive CD4 T-cell	CD3	+	CD3G		ENSG00000160654	CD3g molecule
naive CD4 T-cell	CD3	+	CD3D		ENSG00000167286	CD3d molecule
naive CD4 T-cell	CD3	+	CD3E		ENSG00000198851	CD3e molecule
naive CD8 T-cell	CD3	+	CD3G		ENSG00000160654	CD3g molecule
naive CD8 T-cell	CD3	+	CD3D		ENSG00000167286	CD3d molecule
naive CD8 T-cell	CD3	+	CD3E		ENSG00000198851	CD3e molecule
neutrophil	CD3	NA	CD3G		ENSG00000160654	CD3g molecule
neutrophil	CD3	NA	CD3D		ENSG00000167286	CD3d molecule
neutrophil	CD3	NA	CD3E		ENSG00000198851	CD3e molecule
NK-cell	CD3	-	CD3G		ENSG00000160654	CD3g molecule
NK-cell	CD3	-	CD3D		ENSG00000167286	CD3d molecule
NK-cell	CD3	-	CD3E		ENSG00000198851	CD3e molecule
non-classical monocyte	CD3	-	CD3G		ENSG00000160654	CD3g molecule
non-classical monocyte	CD3	-	CD3D		ENSG00000167286	CD3d molecule
non-classical monocyte	CD3	-	CD3E		ENSG00000198851	CD3e molecule
plasmacytoid DC	CD3	-	CD3G		ENSG00000160654	CD3g molecule
plasmacytoid DC	CD3	-	CD3D		ENSG00000167286	CD3d molecule
plasmacytoid DC	CD3	-	CD3E		ENSG00000198851	CD3e molecule
T-reg	CD3	+	CD3G		ENSG00000160654	CD3g molecule
T-reg	CD3	+	CD3D		ENSG00000167286	CD3d molecule
T-reg	CD3	+	CD3E		ENSG00000198851	CD3e molecule
basophil	CD4	-	CD4		ENSG00000010610	CD4 molecule
classical monocyte	CD4	-	CD4		ENSG00000010610	CD4 molecule
eosinophil	CD4	-	CD4		ENSG00000010610	CD4 molecule
gdTCR	CD4	-	CD4		ENSG00000010610	CD4 molecule
intermediate monocyte	CD4	-	CD4		ENSG00000010610	CD4 molecule
MAIT T-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
myeloid DC	CD4	-	CD4		ENSG00000010610	CD4 molecule
memory B-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
memory CD4 T-cell	CD4	+	CD4		ENSG00000010610	CD4 molecule
memory CD8 T-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
naive B-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
naive CD4 T-cell	CD4	+	CD4		ENSG00000010610	CD4 molecule
naive CD8 T-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
neutrophil	CD4	-	CD4		ENSG00000010610	CD4 molecule
NK-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
non-classical monocyte	CD4	-	CD4		ENSG00000010610	CD4 molecule
plasmacytoid DC	CD4	-	CD4		ENSG00000010610	CD4 molecule
T-reg	CD4	+	CD4		ENSG00000010610	CD4 molecule
basophil	CD8	-	CD8A		ENSG00000153563	CD8a molecule
basophil	CD8	-	CD8B		ENSG00000172116	CD8b molecule
basophil	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
classical monocyte	CD8	-	CD8A		ENSG00000153563	CD8a molecule
classical monocyte	CD8	-	CD8B		ENSG00000172116	CD8b molecule
classical monocyte	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
eosinophil	CD8	-	CD8A		ENSG00000153563	CD8a molecule
eosinophil	CD8	-	CD8B		ENSG00000172116	CD8b molecule
eosinophil	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
gdTCR	CD8	-	CD8A		ENSG00000153563	CD8a molecule
gdTCR	CD8	-	CD8B		ENSG00000172116	CD8b molecule
gdTCR	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
intermediate monocyte	CD8	-	CD8A		ENSG00000153563	CD8a molecule
intermediate monocyte	CD8	-	CD8B		ENSG00000172116	CD8b molecule
intermediate monocyte	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
MAIT T-cell	CD8	-	CD8A		ENSG00000153563	CD8a molecule
MAIT T-cell	CD8	-	CD8B		ENSG00000172116	CD8b molecule
MAIT T-cell	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
myeloid DC	CD8	-	CD8A		ENSG00000153563	CD8a molecule
myeloid DC	CD8	-	CD8B		ENSG00000172116	CD8b molecule
