Major groups of PIDs	Subgroups of PIDs	Disease	Gene	Inheritance	OMIM number	GDI-Phred
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	gc deficiency	IL2RG	XL	300400	0.26766
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	JAK3 deficiency	JAK3	AR	600173	3.69742
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	IL7R? deficiency	IL7RA	AR	146661	NA
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	CD45 deficiency	PTPRC	AR	151460	1.75714
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	CD3? deficiency	CD3D	AR	186790	0.59015
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	CD3? deficiency	CD3E	AR	186830	1.24983
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	CD3? deficiency 	CD3Z	AR	186740	NA
I. Combined immunodeficiencies	T-B+ Severe Combined Immunodeficiency (SCID)	Coronin-1A deficiency	CORO1A	AR	605000	0.77143
I. Combined immunodeficiencies	T-B- SCID. DNA recombination defects	RAG 1 deficiency	RAG1	AR	601457	8.76351
I. Combined immunodeficiencies	T-B- SCID. DNA recombination defects	RAG 2 deficiency	RAG2	AR	601457	3.54108
I. Combined immunodeficiencies	T-B- SCID. DNA recombination defects	DCLRE1C (Artemis) deficiency	DCLRE1C	AR	602450	8.47749
I. Combined immunodeficiencies	T-B- SCID. DNA recombination defects	DNA PKcs deficiency	PRKDC	AR	600899	6.57755
I. Combined immunodeficiencies	T-B- SCID. DNA recombination defects	"Reticular dysgenesis, AK2 deficiency"	AK2	AR	103020	1.93027
I. Combined immunodeficiencies	T-B- SCID. DNA recombination defects	Adenosine deaminase (ADA) deficiency	ADA	AR	102700	5.60704
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	CD40 ligand deficiency	CD40LG	XL	300386	1.34110
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	CD40 deficiency	CD40	AR	109535	1.01750
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	Purine nucleoside phosphorylase (PNP) deficiency	PNP	AR	164050	8.03621
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	CD3? deficiency	CD3G	AR	186740	10.80204
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	CD8 deficiency	CD8A	AR	186910	3.49019
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	ZAP-70 deficiency	ZAP70	AR	269840	1.46999
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MHC class I deficiency	TAP1	AR	604571	13.77511
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MHC class I deficiency	TAP2	AR	604571	10.18092
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MHC class I deficiency	TAPBP	AR	604571	2.21028
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MHC class II deficiency	CIITA	AR	209920	4.20745
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MHC class II deficiency	RFX5	AR	209920	4.54115
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MHC class II deficiency	RFXAP	AR	209920	0.98228
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MHC class II deficiency	RFXANK	AR	209920	4.32126
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	ITK deficiency	ITK	AR	613011	1.53970
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	SH2D1A deficiency (XLP1)	SH2D1A	XL	308240	0.04688
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	Cartilage hair hypoplasia	RMRP	AR	250250	NA
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MAGT1 deficiency	MAGT1	XL	300715	0.82051
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	DOCK8 deficiency	DOCK8	AR	243700	18.28926
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	RhoH Deficiency	RHOH	AR	602037	0.68348
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MST1 deficiency	STK4	AR	614868	7.88897
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	TCR? deficiency	TRAC	AR	615387	NA
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	LCK deficiency	LCK	AR	153390	3.34580
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	MALT1 deficiency	MALT1	AR	604860	2.21841
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	IL21R deficiency	IL21R	AR	605383	3.92928
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	UNC119 deficiency	UNC119	AD	604011	1.47560
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	CARD11 deficiency	CARD11	AR	615206	2.86659
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	OX40 deficiency	TNFRSF4	AR	615593	0.92448
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	IKBKB deficiency	IKBKB	AR	615592	3.39162
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	Activated PI3K-?	PIK3CD	AD	602839	3.55263
I. Combined immunodeficiencies	Combined immunodeficiencies generally less profound than severe combined immunodeficiency        	Omenn syndrome	LIG4	AR	603554	8.68899
II. Combined immunodeficiencies with associated or syndromic features	Congenital thrombocytopenia	Wiskott-Aldrich syndrome (WAS)	WAS	XL	301000	1.13817
II. Combined immunodeficiencies with associated or syndromic features	Congenital thrombocytopenia	WIP deficiency	WIPF1	AR	614493	0.96977
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	Ataxia-telangiectasia	ATM	AR	208900	15.62160
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	Ataxia-telangiectasia-like disease (ATLD)*	MRE11A	AR	604391	3.10867
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	Nijmegen breakage syndrome	NBN	AR	251260	9.39528
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	Bloom Syndrome	BLM	AR	210900	5.92615
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	Immunodeficiency with centromeric instability and facial anomalies (ICF)	DNMT3B	AR	242860	3.03837
