blood	color
basophils	#F7BCA9
eosinophils	#F39B7F
classical_monocytes	#EE8778
intermediate_monocytes	#E64B35
non_classical_monocytes	#993223
mait	#A4B0C8
gdT	#C3CADA
total_pbmcs	#7E6148FF
plasmacytoid_dc	#007F6B
myeloid_dc	#32B39F
naive_b	#7F348B
memory_b	#4D1E73
nk	#ad1d78
memory_cd4	#697BA3
naive_cd4	#2E4068
naive_cd8	#243353
memory_cd8	#4A6191
tregs	#121929
neutrophils	#A26754
classical_monocytes	#EE8778
eosinophils	#F39B7F
gdT	#C3CADA
intermediate_monocytes	#E64B35
mait	#A4B0C8
memory_b	#4D1E73
memory_cd4	#697BA3
memory_cd8	#4A6191
myeloid_dc	#32B39F
naive_b	#7F348B
naive_cd4	#2E4068
naive_cd8	#243353
neutrophils	#A26754
nk	#ad1d78
non_classical_monocytes	#993223
plasmacytoid_dc	#007F6B
total_pbmcs	#7E6148FF
tregs	#121929
basophils	#F7BCA9
classical_monocytes	#EE8778
eosinophils	#F39B7F
gdT	#C3CADA
intermediate_monocytes	#E64B35
mait	#A4B0C8
memory_b	#4D1E73
memory_cd4	#697BA3
memory_cd8	#4A6191
myeloid_dc	#32B39F
naive_b	#7F348B
naive_cd4	#2E4068
naive_cd8	#243353
neutrophils	#A26754
nk	#ad1d78
non_classical_monocytes	#993223
plasmacytoid_dc	#007F6B
total_pbmcs	#7E6148FF
tregs	#121929
basophils	#F7BCA9
classical_monocytes	#EE8778
eosinophils	#F39B7F
gdT	#C3CADA
intermediate_monocytes	#E64B35
mait	#A4B0C8
memory_b	#4D1E73
memory_cd4	#697BA3
memory_cd8	#4A6191
myeloid_dc	#32B39F
naive_b	#7F348B
naive_cd4	#2E4068
naive_cd8	#243353
neutrophils	#A26754
nk	#ad1d78
non_classical_monocytes	#993223
plasmacytoid_dc	#007F6B
total_pbmcs	#7E6148FF
tregs	#121929
total_pbmcs	#7E6148FF
gdT	#C3CADA
eosinophils	#F39B7F
neutrophils	#A26754
classical_monocytes	#EE8778
intermediate_monocytes	#E64B35
non_classical_monocytes	#993223
mait	#A4B0C8
basophils	#F7BCA9
naive_cd4	#2E4068
memory_cd4	#697BA3
naive_cd8	#243353
memory_cd8	#4A6191
plasmacytoid_dc	#007F6B
myeloid_dc	#32B39F
naive_b	#7F348B
memory_b	#4D1E73
nk	#ad1d78
tregs	#121929
total_pbmcs	#7E6148FF
neutrophils	#A26754
mait	#A4B0C8
gdT	#C3CADA
plasmacytoid_dc	#007F6B
myeloid_dc	#32B39F
eosinophils	#F39B7F
basophils	#F7BCA9
nk	#ad1d78
naive_b	#7F348B
memory_b	#4D1E73
tregs	#121929
classical_monocytes	#EE8778
intermediate_monocytes	#E64B35
non_classical_monocytes	#993223
naive_cd8	#243353
memory_cd8	#4A6191
naive_cd4	#2E4068
memory_cd4	#697BA3
