content	content_l1
amygdala	amygdala
caudate	basal ganglia
caudate putamen	basal ganglia
putamen	basal ganglia
septum	basal ganglia
ventral forebrain	basal ganglia
ventral pallidum	basal ganglia
cerebellum	cerebellum
cingulate cortex	cerebral cortex
insular cortex	cerebral cortex
motor cortex	cerebral cortex
occipital cortex	cerebral cortex
prefrontal cortex	cerebral cortex
retrosplenial cortex	cerebral cortex
somatosensory cortex	cerebral cortex
temporal cortex	cerebral cortex
visual cortex	cerebral cortex
choroid plexus	choroid plexus
corpus callosum	corpus callosum
dura mater	dura mater
cornea	Eye
lens	Eye
dorsal hippocampus 	hippocampal formation
entorhinal cortex	hippocampal formation
entrorhinal cortex	hippocampal formation
hippocampal formation	hippocampal formation
subiculum	hippocampal formation
ventral hippocampus 	hippocampal formation
hypothalamus	hypothalamus
midbrain	midbrain
periaqueductal gray	midbrain
substantia nigra	midbrain
olfactory bulb	olfactory region
pineal gland	pineal gland
pituitary gland	pitutiary
Medulla	pons and medulla
pons	pons and medulla
pons and medulla	pons and medulla
retina	retina
dorsal spinal cord	spinal cord
spinal cord	spinal cord
ventral spinal cord	spinal cord
thalamus	thalamus
